State,Dairy,Lumber,Technology,Farming,Mining
Alabama,25,22,12,42,53
Alaska,13,46,11,9,56
Arizona,34,64,64,13,43
Arkansas,12,14,13,34,15
California,99,87,130,143,134
Colorado,56,68,45,23,45
Conneticut,13,33,45,43,8
Delaware,22,45,34,56,11
Florida,94,49,8,27,3
Georgia,26,6,43,76,54
Hawaii,13,37,30,34,1
Idaho ,45,28,17,23,23
Illinois,64,39,4,76,43
Indiana,27,26,84,97,32
Iowa,94,24,36,56,34
Kansas,37,29,94,34,8
Kentucky,2,24,27,28,23
Louisiana,27,43,48,7,43
Maine,8,75,17,28,38
Maryland,94,37,39,82,20
Massachusetts,37,82,49,94,18
Michigan,26,71,15,26,55
Minnesota,83,91,3,25,23
Mississippi,94,48,73,63,18
Missouri,63,50,49,57,40
Montana,13,68,28,68,38
Nebraska,36,49,19,23,40
Nevada,8,70,26,4,14
New Hampshire,39,39,94,84,75
New Jersey,15,28,20,16,41
New Mexico,7,84,59,35,13
New York,73,26,29,27,11
North Carolina,28,18,45,51,24
North Dakota,27,100,37,84,45
Ohio,49,34,28,36,75
Oklahoma,27,54,81,37,23
Oregon,64,72,25,31,65
Pennsylvania,36,27,28,21,27
Rhode Island,38,83,14,74,84
South Carolina,29,84,93,47,27
South Dakota,38,27,74,15,26
Tennessee,27,62,34,37,84
Texas,14,38,14,26,21
Utah,88,48,18,37,86
Vermont ,77,67,48,84,23
Virginia,24,26,23,41,56
Washington,55,45,12,12,45
West Virginia,27,76,38,62,34
Wisconsin,24,36,27,23,23
Wyoming,49,86,48,41,6
